id,date,workout,duration,distance,pace,category,user_id
465,2018-04-10,Rest,0,0.0,0.0,rest,1
466,2018-04-11,Chest,30,0.0,0.0,chest,1
467,2018-04-12,Back,27,0.0,0.0,back,1
468,2018-04-13,Legs,26,0.0,0.0,legs,1
469,2018-04-14,Chest,30,0.0,0.0,chest,1
470,2018-04-15,Back,27,0.0,0.0,back,1
471,2018-04-16,Running,38,7.63,4.59,cardio,1
472,2018-04-17,Chest,28,0.0,0.0,chest,1
473,2018-04-18,Back,52,0.0,0.0,back,1
474,2018-04-19,Legs,25,0.0,0.0,legs,1
475,2018-04-20,Rest,0,0.0,0.0,rest,1
476,2018-04-21,Chest,45,0.0,0.0,chest,1
477,2018-04-22,Back,47,0.0,0.0,back,1
478,2018-04-23,Legs,23,0.0,0.0,legs,1
479,2018-04-24,Chest,29,0.0,0.0,chest,1
480,2018-04-25,Back,50,0.0,0.0,back,1
481,2018-04-26,Chest,50,0.0,0.0,chest,1
482,2018-04-27,Back,28,0.0,0.0,back,1
483,2018-04-28,Chest,28,0.0,0.0,chest,1
484,2018-04-29,Legs,24,0.0,0.0,legs,1
485,2018-04-30,Rest,0,0.0,0.0,rest,1
486,2018-05-01,Back,46,0.0,0.0,back,1
487,2018-05-02,Chest,25,0.0,0.0,chest,1
488,2018-05-03,Back,48,0.0,0.0,back,1
489,2018-05-04,Chest,45,0.0,0.0,chest,1
490,2018-05-05,Back,53,0.0,0.0,back,1
491,2018-05-06,Legs,24,0.0,0.0,legs,1
492,2018-05-07,Chest,50,0.0,0.0,chest,1
493,2018-05-08,Back,53,0.0,0.0,back,1
494,2018-05-09,Running,40,8.32,4.48,cardio,1
495,2018-05-10,Chest,31,0.0,0.0,chest,1
496,2018-05-11,Rest,0,0.0,0.0,rest,1
497,2018-05-12,Back,52,0.0,0.0,back,1
498,2018-05-13,Legs,26,0.0,0.0,legs,1
499,2018-05-14,Chest,53,0.0,0.0,chest,1
500,2018-05-15,Back,47,0.0,0.0,back,1
501,2018-05-16,Chest,31,0.0,0.0,chest,1
502,2018-05-17,Back,49,0.0,0.0,back,1
